SchoolName,NAME,TOTAL
Robert Lindblom Math & Science Academy HS,GANGSTER DISCIPLES,527
Robert Lindblom Math & Science Academy HS,INSANE DRAGONS,1
Robert Lindblom Math & Science Academy HS,LA RAZA,1
Robert Lindblom Math & Science Academy HS,LATIN KINGS,2
Robert Lindblom Math & Science Academy HS,LATIN SAINTS,1
Robert Lindblom Math & Science Academy HS,MAFIA INSANE VICE LORDS,3
Robert Lindblom Math & Science Academy HS,MANIAC LATIN DISCIPLES,2
Robert Lindblom Math & Science Academy HS,MICKEY COBRAS,14
Robert Lindblom Math & Science Academy HS,NEW BREED,10
Robert Lindblom Math & Science Academy HS,SATAN DISCIPLES,12
Robert Lindblom Math & Science Academy HS,SPANISH COBRAS,1
Robert Lindblom Math & Science Academy HS,TRAVELING VICE LORDS,5
Robert Lindblom Math & Science Academy HS,TWO SIX,4
Robert Lindblom Math & Science Academy HS,VICE LORDS,4
Roberto Clemente Community Academy High School,AMBROSE,1
Roberto Clemente Community Academy High School,ASHLAND VIKINGS,1
Roberto Clemente Community Academy High School,BLACK DISCIPLES,1
Roberto Clemente Community Academy High School,BLACK SOULS,2
Roberto Clemente Community Academy High School,CONSERVATIVE VICE LORDS,1
Roberto Clemente Community Academy High School,FOUR CORNER HUSTLERS,3
Roberto Clemente Community Academy High School,GANGSTER DISCIPLES,4
Roberto Clemente Community Academy High School,GAYLORDS,1
Roberto Clemente Community Academy High School,HARRISON GENTS,5
Roberto Clemente Community Academy High School,IMPERIAL GANGSTERS,1
Roberto Clemente Community Academy High School,INSANE DRAGONS,11
Roberto Clemente Community Academy High School,LATIN BROTHERS ORGANIZATION,1
Roberto Clemente Community Academy High School,LATIN DRAGONS,5
Roberto Clemente Community Academy High School,LATIN JIVERS,3
Roberto Clemente Community Academy High School,LATIN KINGS,5
Roberto Clemente Community Academy High School,MAFIA INSANE VICE LORDS,1
Roberto Clemente Community Academy High School,MANIAC CAMPBELL BOYS,14
Roberto Clemente Community Academy High School,MANIAC LATIN DISCIPLES,88
Roberto Clemente Community Academy High School,MILWAUKEE KINGS,6
Roberto Clemente Community Academy High School,NEW BREED,3
Roberto Clemente Community Academy High School,SATAN DISCIPLES,10
Roberto Clemente Community Academy High School,SIMON CITY ROYALS,1
Roberto Clemente Community Academy High School,SPANISH COBRAS,25
Roberto Clemente Community Academy High School,TRAVELING VICE LORDS,4
Roberto Clemente Community Academy High School,VICE LORDS,3
Roberto Clemente Community Academy High School,Y.L.O. COBRAS,11
Roberto Clemente Community Academy High School,YOUNG LATIN ORGANIZATION,3
Roger C Sullivan High School,ASHLAND VIKINGS,1
Roger C Sullivan High School,BLACK DISCIPLES,2
Roger C Sullivan High School,BLACK GANGSTERS,2
Roger C Sullivan High School,BLACK P STONES,25
Roger C Sullivan High School,BLACK SOULS,1
Roger C Sullivan High School,CONSERVATIVE VICE LORDS,8
Roger C Sullivan High School,FOUR CORNER HUSTLERS,7
Roger C Sullivan High School,GANGSTER DISCIPLES,285
Roger C Sullivan High School,GAYLORDS,1
Roger C Sullivan High School,LA RAZA,1
Roger C Sullivan High School,LATIN EAGLES,1
Roger C Sullivan High School,LATIN KINGS,242
Roger C Sullivan High School,MANIAC LATIN DISCIPLES,2
Roger C Sullivan High School,MICKEY COBRAS,1
Roger C Sullivan High School,SPANISH COBRAS,1
Roger C Sullivan High School,TRAVELING VICE LORDS,6
Roger C Sullivan High School,TWO SIX,3
Roger C Sullivan High School,VICE LORDS,4
South Shore Intl College Prep High School,AMBROSE,1
South Shore Intl College Prep High School,BLACK DISCIPLES,26
South Shore Intl College Prep High School,BLACK GANGSTERS,9
South Shore Intl College Prep High School,BLACK P STONES,103
South Shore Intl College Prep High School,CONSERVATIVE VICE LORDS,6
South Shore Intl College Prep High School,FOUR CORNER HUSTLERS,13
South Shore Intl College Prep High School,GANGSTER DISCIPLES,337
South Shore Intl College Prep High School,LATIN KINGS,5
South Shore Intl College Prep High School,LATIN SAINTS,1
South Shore Intl College Prep High School,MICKEY COBRAS,6
South Shore Intl College Prep High School,NEW BREED,2
South Shore Intl College Prep High School,TRAVELING VICE LORDS,4
Spry Community Links High School,AMBROSE,1
Spry Community Links High School,BISHOPS,1
Spry Community Links High School,BLACK DISCIPLES,25
Spry Community Links High School,BLACK GANGSTERS,28
Spry Community Links High School,BLACK P STONES,17
Spry Community Links High School,BLACK SOULS,18
Spry Community Links High School,CONSERVATIVE VICE LORDS,117
Spry Community Links High School,FOUR CORNER HUSTLERS,61
Spry Community Links High School,GANGSTER DISCIPLES,203
Spry Community Links High School,IMPERIAL GANGSTERS,7
Spry Community Links High School,LA RAZA,4
Spry Community Links High School,LATIN JIVERS,1
Spry Community Links High School,LATIN KINGS,639
Spry Community Links High School,MAFIA INSANE VICE LORDS,20
Spry Community Links High School,MANIAC LATIN DISCIPLES,3
Spry Community Links High School,NEW BREED,208
Spry Community Links High School,PARTY PEOPLE,1
Spry Community Links High School,SATAN DISCIPLES,26
Spry Community Links High School,SPANISH COBRAS,7
Spry Community Links High School,TRAVELING VICE LORDS,406
Spry Community Links High School,TWO SIX,164
Spry Community Links High School,TWO-TWO BOYS,2
Spry Community Links High School,VICE LORDS,51
Spry Community Links High School,Y.L.O. COBRAS,1
Stephen T Mather High School,BLACK P STONES,17
Stephen T Mather High School,CONSERVATIVE VICE LORDS,1
Stephen T Mather High School,FOUR CORNER HUSTLERS,1
Stephen T Mather High School,GANGSTER DISCIPLES,14
Stephen T Mather High School,GAYLORDS,1
Stephen T Mather High School,IMPERIAL GANGSTERS,1
Stephen T Mather High School,INSANE POPES,2
Stephen T Mather High School,LA FAMILIA STONES,5
Stephen T Mather High School,LA RAZA,1
Stephen T Mather High School,LATIN EAGLES,1
Stephen T Mather High School,LATIN KINGS,215
Stephen T Mather High School,MANIAC LATIN DISCIPLES,4
Stephen T Mather High School,ORCHESTRA ALBANY,1
Stephen T Mather High School,SATAN DISCIPLES,1
Stephen T Mather High School,SPANISH COBRAS,2
Stephen T Mather High School,SURENO 13,3
Stephen T Mather High School,TWO SIX,1
TEAM Englewood Community Academy High School,BLACK DISCIPLES,215
TEAM Englewood Community Academy High School,BLACK GANGSTERS,9
TEAM Englewood Community Academy High School,BLACK P STONES,40
TEAM Englewood Community Academy High School,BLACK SOULS,1
TEAM Englewood Community Academy High School,CONSERVATIVE VICE LORDS,7
TEAM Englewood Community Academy High School,FOUR CORNER HUSTLERS,2
TEAM Englewood Community Academy High School,GANGSTER DISCIPLES,413
TEAM Englewood Community Academy High School,KRAZY GETDOWN BOYS,1
TEAM Englewood Community Academy High School,LA RAZA,1
TEAM Englewood Community Academy High School,LATIN KINGS,4
TEAM Englewood Community Academy High School,LATIN SAINTS,1
TEAM Englewood Community Academy High School,MAFIA INSANE VICE LORDS,4
TEAM Englewood Community Academy High School,MICKEY COBRAS,16
TEAM Englewood Community Academy High School,NEW BREED,2
TEAM Englewood Community Academy High School,SATAN DISCIPLES,1
TEAM Englewood Community Academy High School,VICE LORDS,2
Theodore Roosevelt High School,BLACK DISCIPLES,1
Theodore Roosevelt High School,BLACK P STONES,3
Theodore Roosevelt High School,CONSERVATIVE VICE LORDS,6
Theodore Roosevelt High School,FOUR CORNER HUSTLERS,3
Theodore Roosevelt High School,GANGSTER DISCIPLES,10
Theodore Roosevelt High School,IMPERIAL GANGSTERS,1
Theodore Roosevelt High School,INSANE POPES,1
Theodore Roosevelt High School,LA FAMILIA STONES,6
Theodore Roosevelt High School,LA RAZA,2
Theodore Roosevelt High School,LATIN BROTHERS ORGANIZATION,2
Theodore Roosevelt High School,LATIN EAGLES,2
Theodore Roosevelt High School,LATIN JIVERS,1
Theodore Roosevelt High School,LATIN KINGS,172
Theodore Roosevelt High School,LATIN SAINTS,2
Theodore Roosevelt High School,MANIAC LATIN DISCIPLES,3
Theodore Roosevelt High School,SATAN DISCIPLES,2
Theodore Roosevelt High School,SIMON CITY ROYALS,7
Theodore Roosevelt High School,SPANISH COBRAS,7
Theodore Roosevelt High School,TRAVELING VICE LORDS,2
Thomas Kelly High School,AMBROSE,12
Thomas Kelly High School,BLACK P STONES,1
Thomas Kelly High School,FOUR CORNER HUSTLERS,3
Thomas Kelly High School,GANGSTER DISCIPLES,9
Thomas Kelly High School,KRAZY GETDOWN BOYS,1
Thomas Kelly High School,LA RAZA,12
Thomas Kelly High School,LATIN KINGS,265
Thomas Kelly High School,LATIN SAINTS,9
Thomas Kelly High School,MANIAC LATIN DISCIPLES,2
Thomas Kelly High School,PARTY PEOPLE,1
Thomas Kelly High School,SATAN DISCIPLES,414
Thomas Kelly High School,SIMON CITY ROYALS,2
Thomas Kelly High School,SPANISH COBRAS,2
Thomas Kelly High School,SURENO 13,3
Thomas Kelly High School,TRAVELING VICE LORDS,1
Thomas Kelly High School,TWO SIX,316
Thomas Kelly High School,TWO-TWO BOYS,1
Thomas Kelly High School,Y.L.O. COBRAS,1
Uplift Community High School,AMBROSE,1
Uplift Community High School,BLACK DISCIPLES,8
Uplift Community High School,BLACK GANGSTERS,1
Uplift Community High School,BLACK P STONES,135
Uplift Community High School,CONSERVATIVE VICE LORDS,33
Uplift Community High School,FOUR CORNER HUSTLERS,7
Uplift Community High School,GANGSTER DISCIPLES,72
Uplift Community High School,GAYLORDS,1
Uplift Community High School,HARRISON GENTS,3
Uplift Community High School,IMPERIAL GANGSTERS,3
Uplift Community High School,LA RAZA,1
Uplift Community High School,LATIN EAGLES,1
Uplift Community High School,LATIN KINGS,54
Uplift Community High School,MAFIA INSANE VICE LORDS,2
Uplift Community High School,MANIAC LATIN DISCIPLES,2
Uplift Community High School,MICKEY COBRAS,2
Uplift Community High School,NEW BREED,1
Uplift Community High School,ORCHESTRA ALBANY,1
Uplift Community High School,SATAN DISCIPLES,1
Uplift Community High School,SIMON CITY ROYALS,1
Uplift Community High School,SPANISH COBRAS,3
Uplift Community High School,TRAVELING VICE LORDS,3
Uplift Community High School,VICE LORDS,6
VOISE Academy High School,BLACK DISCIPLES,11
VOISE Academy High School,BLACK GANGSTERS,5
VOISE Academy High School,BLACK P STONES,54
VOISE Academy High School,BLACK SOULS,38
VOISE Academy High School,CONSERVATIVE VICE LORDS,60
VOISE Academy High School,FOUR CORNER HUSTLERS,461
VOISE Academy High School,GANGSTER DISCIPLES,71
VOISE Academy High School,HARRISON GENTS,1
VOISE Academy High School,LA RAZA,2
VOISE Academy High School,LATIN BROTHERS ORGANIZATION,2
VOISE Academy High School,LATIN JIVERS,5
VOISE Academy High School,LATIN KINGS,16
VOISE Academy High School,MAFIA INSANE VICE LORDS,173
VOISE Academy High School,MANIAC LATIN DISCIPLES,3
VOISE Academy High School,MICKEY COBRAS,3
VOISE Academy High School,NEW BREED,14
VOISE Academy High School,ORCHESTRA ALBANY,2
VOISE Academy High School,SIMON CITY ROYALS,2
VOISE Academy High School,SPANISH COBRAS,2
VOISE Academy High School,SURENO 13,2
VOISE Academy High School,TRAVELING VICE LORDS,91
VOISE Academy High School,TWO SIX,2
VOISE Academy High School,VICE LORDS,133
VOISE Academy High School,Y.L.O. COBRAS,1
VOISE Academy High School,Y.L.O. DISCIPLES,2
Walter Payton College Preparatory High School,BLACK DISCIPLES,6
Walter Payton College Preparatory High School,BLACK P STONES,8
Walter Payton College Preparatory High School,BLACK SOULS,2
Walter Payton College Preparatory High School,CONSERVATIVE VICE LORDS,37
Walter Payton College Preparatory High School,FOUR CORNER HUSTLERS,11
Walter Payton College Preparatory High School,GANGSTER DISCIPLES,131
Walter Payton College Preparatory High School,INSANE DEUCES,1
Walter Payton College Preparatory High School,LATIN EAGLES,1
Walter Payton College Preparatory High School,MAFIA INSANE VICE LORDS,3
Walter Payton College Preparatory High School,MICKEY COBRAS,79
Walter Payton College Preparatory High School,SATAN DISCIPLES,1
Walter Payton College Preparatory High School,TRAVELING VICE LORDS,8
Walter Payton College Preparatory High School,VICE LORDS,3
Wells Community Academy High School,AMBROSE,1
Wells Community Academy High School,ASHLAND VIKINGS,1
Wells Community Academy High School,BLACK DISCIPLES,1
Wells Community Academy High School,BLACK SOULS,2
Wells Community Academy High School,CONSERVATIVE VICE LORDS,1
Wells Community Academy High School,FOUR CORNER HUSTLERS,3
Wells Community Academy High School,GANGSTER DISCIPLES,4
Wells Community Academy High School,GAYLORDS,1
Wells Community Academy High School,HARRISON GENTS,5
Wells Community Academy High School,IMPERIAL GANGSTERS,1
Wells Community Academy High School,INSANE DRAGONS,11
Wells Community Academy High School,LATIN BROTHERS ORGANIZATION,1
Wells Community Academy High School,LATIN DRAGONS,5
Wells Community Academy High School,LATIN JIVERS,3
Wells Community Academy High School,LATIN KINGS,5
Wells Community Academy High School,MAFIA INSANE VICE LORDS,1
Wells Community Academy High School,MANIAC CAMPBELL BOYS,14
Wells Community Academy High School,MANIAC LATIN DISCIPLES,88
Wells Community Academy High School,MILWAUKEE KINGS,6
Wells Community Academy High School,NEW BREED,3
Wells Community Academy High School,SATAN DISCIPLES,10
Wells Community Academy High School,SIMON CITY ROYALS,1
Wells Community Academy High School,SPANISH COBRAS,25
Wells Community Academy High School,TRAVELING VICE LORDS,4
Wells Community Academy High School,VICE LORDS,3
Wells Community Academy High School,Y.L.O. COBRAS,11
Wells Community Academy High School,YOUNG LATIN ORGANIZATION,3
Wendell Phillips Academy High School,BLACK DISCIPLES,16
Wendell Phillips Academy High School,BLACK GANGSTERS,1
Wendell Phillips Academy High School,BLACK P STONES,15
Wendell Phillips Academy High School,BLACK SOULS,1
Wendell Phillips Academy High School,CONSERVATIVE VICE LORDS,3
Wendell Phillips Academy High School,FOUR CORNER HUSTLERS,6
Wendell Phillips Academy High School,GANGSTER DISCIPLES,175
Wendell Phillips Academy High School,LATIN KINGS,1
Wendell Phillips Academy High School,MAFIA INSANE VICE LORDS,6
Wendell Phillips Academy High School,MANIAC LATIN DISCIPLES,1
Wendell Phillips Academy High School,MICKEY COBRAS,7
Wendell Phillips Academy High School,TRAVELING VICE LORDS,5
Wendell Phillips Academy High School,VICE LORDS,3
Whitney M Young Magnet High School,BLACK DISCIPLES,2
Whitney M Young Magnet High School,BLACK P STONES,3
Whitney M Young Magnet High School,BLACK SOULS,1
Whitney M Young Magnet High School,CONSERVATIVE VICE LORDS,1
Whitney M Young Magnet High School,FOUR CORNER HUSTLERS,1
Whitney M Young Magnet High School,GANGSTER DISCIPLES,5
Whitney M Young Magnet High School,LATIN KINGS,2
Whitney M Young Magnet High School,MAFIA INSANE VICE LORDS,1
Whitney M Young Magnet High School,NEW BREED,1
Whitney M Young Magnet High School,SPANISH COBRAS,2
Whitney M Young Magnet High School,TRAVELING VICE LORDS,4
Whitney M Young Magnet High School,VICE LORDS,1
William Howard Taft High School,GANGSTER DISCIPLES,1
William Howard Taft High School,LA RAZA,1
William Howard Taft High School,LATIN KINGS,1
William Howard Taft High School,MILWAUKEE KINGS,1
William Howard Taft High School,NEW BREED,2
William Howard Taft High School,SATAN DISCIPLES,1
William Howard Taft High School,SPANISH COBRAS,1
William J Bogan High School,AMBROSE,2
William J Bogan High School,BLACK P STONES,4
William J Bogan High School,FOUR CORNER HUSTLERS,2
William J Bogan High School,GANGSTER DISCIPLES,67
William J Bogan High School,KRAZY GETDOWN BOYS,24
William J Bogan High School,LA RAZA,1
William J Bogan High School,LATIN KINGS,1
William J Bogan High School,SATAN DISCIPLES,8
William J Bogan High School,TWO SIX,1
William Jones College Preparatory High School,BLACK DISCIPLES,1
William Jones College Preparatory High School,GANGSTER DISCIPLES,3
William Jones College Preparatory High School,MANIAC LATIN DISCIPLES,1
William Jones College Preparatory High School,SATAN DISCIPLES,1
William Jones College Preparatory High School,TWO SIX,2
William Jones College Preparatory High School,VICE LORDS,1
William Rainey Harper High School,AMBROSE,2
William Rainey Harper High School,BLACK DISCIPLES,41
William Rainey Harper High School,BLACK GANGSTERS,13
William Rainey Harper High School,BLACK P STONES,82
William Rainey Harper High School,BLACK SOULS,1
William Rainey Harper High School,CONSERVATIVE VICE LORDS,24
William Rainey Harper High School,FOUR CORNER HUSTLERS,10
William Rainey Harper High School,GANGSTER DISCIPLES,527
William Rainey Harper High School,INSANE DRAGONS,1
William Rainey Harper High School,LA RAZA,1
William Rainey Harper High School,LATIN KINGS,2
William Rainey Harper High School,LATIN SAINTS,1
William Rainey Harper High School,MAFIA INSANE VICE LORDS,3
William Rainey Harper High School,MANIAC LATIN DISCIPLES,2
William Rainey Harper High School,MICKEY COBRAS,14
William Rainey Harper High School,NEW BREED,10
William Rainey Harper High School,SATAN DISCIPLES,12
William Rainey Harper High School,SPANISH COBRAS,1
William Rainey Harper High School,TRAVELING VICE LORDS,5
William Rainey Harper High School,TWO SIX,4
William Rainey Harper High School,VICE LORDS,4
World Language Academy High School,AMBROSE,1
World Language Academy High School,BISHOPS,1
World Language Academy High School,BLACK DISCIPLES,25
World Language Academy High School,BLACK GANGSTERS,28
World Language Academy High School,BLACK P STONES,17
World Language Academy High School,BLACK SOULS,18
World Language Academy High School,CONSERVATIVE VICE LORDS,117
World Language Academy High School,FOUR CORNER HUSTLERS,61
World Language Academy High School,GANGSTER DISCIPLES,203
World Language Academy High School,IMPERIAL GANGSTERS,7
World Language Academy High School,LA RAZA,4
World Language Academy High School,LATIN JIVERS,1
World Language Academy High School,LATIN KINGS,639
World Language Academy High School,MAFIA INSANE VICE LORDS,20
World Language Academy High School,MANIAC LATIN DISCIPLES,3
World Language Academy High School,NEW BREED,208
World Language Academy High School,PARTY PEOPLE,1
World Language Academy High School,SATAN DISCIPLES,26
World Language Academy High School,SPANISH COBRAS,7
World Language Academy High School,TRAVELING VICE LORDS,406
World Language Academy High School,TWO SIX,164
World Language Academy High School,TWO-TWO BOYS,2
World Language Academy High School,VICE LORDS,51
World Language Academy High School,Y.L.O. COBRAS,1
